id,Chinese,English,Status
6244,猁,a kind of monkey,1
6245,桷,rafter/malus toringo,1
6246,砼,,1
6247,锾,(ancient measure)/money,1
6248,颟,dawdling,1
6249,跽,kneel,1
6250,悛,to reform,1
6251,桕,,1
6252,艨,war-boat,1
6253,颡,forehead/kowtow,1
6254,髹,red lacquer/to lacquer,1
6255,桫,Stewartia pseudocamellia,1
6256,鬆,,1
6257,練,,1
6258,總,,1
6259,膽,,1
6260,貝,,1
6261,葸,feel insecure/unhappy,1
6262,屣,slippers,1
6263,獒,mastiff,1
6264,瘌,scabies/scald-head,1
6265,佴,assistant,1
6266,锫,,1
6267,隰,(surname)/low/marshy land,1
6268,醌,,1
6269,萬,,1
6270,矯,,1
6271,鰕,,1
6272,岽,,1
6273,昃,afternoon/decline,1
6274,螓,small cicada with a square head,1
6275,垧,,1
6276,廨,office,1
6277,骺,,1
6278,黥,(surname)/tattoo criminals on face,1
6279,豳,name of an ancient city,1
6280,議,,1
6281,絡,,1
6282,護,,1
6283,釋,,1
6284,隨,,1
6285,荑,"(grass), to weed",1
6286,莶,,1
6287,蓊,a plant in bloom/thick,1
6288,揎,pull up sleeves/strike with fists,1
6289,娈,beautiful,1
6290,嫜,husband's parent/lady in the moon,1
6291,毽,shuttlecock,1
6292,砑,to calender,1
6293,碶,,1
6294,剀,carefully/moderately,1
6295,薷,Elshotria paltrini,1
6296,怃,disappointed/startled,1
6297,怿,pleased/rejoice,1
6298,骐,piebald horse,1
6299,腧,,1
6300,霈,torrent of rain,1
6301,蝻,immature locusts,1
6302,鵰,,1
6303,讀,,1
6304,墼,,1
6305,坩,crucible,1
6306,甏,,1
6307,鹇,silver pheasant badge worn by civil officials of the 5th grade,1
6308,鹣,mythical bird with 1 eye and 1 wing,1
6309,舴,small boat,1
6310,鲭,mackerel/mullet,1
6311,傺,detain/hinder,1
6312,枘,tenon/tool handle,1
6313,秕,grain not fully grown/husks/withered grain/unripe grain,1
6314,糨,,1
6315,忉,grieved,1
6316,磲,Tridacna gigas,1
6317,顒,,1
6318,蟲,,1
6319,訓,,1
6320,侑,urge to eat,1
6321,萁,stalks of pulse,1
6322,葳,luxuriant,1
6323,呙,,1
6324,鹋,,1
6325,貘,tapir,1
6326,葶,Draba nemerosa bebe carpa,1
6327,枨,door post,1
6328,棹,table,1
6329,纛,big banner/feather banner or fan,1
6330,籤,,1
6331,規,,1
6332,資,,1
6333,嶷,name of a mountain in Hunan,1
6334,妁,(surname)/matchmaker,1
6335,杩,,1
6336,鹛,,1
6337,羝,billy goat/ram,1
6338,骖,outside horses of a team of 4,1
6339,祧,ancestral hall,1
6340,給,,1
6341,淠,luxuriant (of water plants),1
6342,畎,field drains,1
6343,箨,sheath around joints of bamboo,1
6344,鳐,ray (fish),1
6345,識,,1
6346,遠,,1
6347,谿,,1
6348,剡,"river in Zhejiang, sharp",1
6349,吲,,1
6350,嫫,ugly woman,1
6351,戽,water bucket for irrigation,1
6352,糗,(surname)/dry provisions,1
6353,鸮,,1
6354,蕰,,1
6355,坼,to crack/split/break/to chap,1
6356,璺,"a crack, as in porcelain",1
6357,栊,bar/cage/gratings,1
6358,镝,dysprosium,1
6359,疔,boil/carbuncle,1
6360,瘰,scrofula/tuberculosis of glands,1
6361,谮,slander,1
6362,辋,tire/wheel band,1
6363,碥,,1
6364,豂,,1
6365,竅,,1
6366,讓,,1
6367,黒,,1
6368,劂,chisel/engrave,1
6369,潋,full of water/trough,1
6370,孓,larvae of mosquito,1
6371,螋,,1
6372,鲳,a type of fish,1
6373,铙,big cymbals,1
6374,塄,,1
6375,萆,castor seed,1
6376,碲,tellurium,1
6377,粋,,1
6378,纻,,1
6379,沭,river in Shandong,1
6380,祏,,1
6381,電,,1
6382,鱲,,1
6383,頻,,1
6384,設,,1
6385,試,,1
6386,項,,1
6387,鄩,,1
6388,鱖,,1
6389,鱧,,1
6390,怍,ashamed,1
6391,糍,,1
6392,鸻,,1
6393,仵,opponent,1
6394,柰,crab-apple/how can one help,1
6395,棼,beams in roof/confused,1
6396,氇,,1
6397,氆,thick rough serge from Tibet,1
6398,烀,,1
6399,镔,fine steel,1
6400,珉,,1
6401,鞬,,1
6402,範,,1
6403,膠,,1
6404,眾,,1
6405,鶇,,1
6406,囝,child,1
6407,犴,jail,1
6408,镠,,1
6409,觇,keep at/to spy,1
6410,钆,gadolinium,1
6411,蚺,,1
6412,蝓,snail,1
6413,趑,,1
6414,貔,(leopard),1
6415,躞,to walk,1
6416,氽,boil for a short time,1
6417,绂,ribbon for a seal/sash,1
6418,栲,mangrove,1
6419,鹎,bird,1
6420,襻,a loop/a belt or band,1
6421,蓚,,1
6422,貪,,1
6423,祓,cleanse/remove evil,1
6424,繼,,1
6425,脫,,1
6426,郿,,1
6427,骝,bay horse with black mane,1
6428,檫,,1
6429,砟,fragments,1
6430,蝰,,1
6431,猱,(monkey)/scratch,1
6432,缵,carry on,1
6433,沔,inundation/name of a river,1
6434,彖,running hog,1
6435,黻,(embroidery),1
6436,眢,inflamed eyelids/parched,1
6437,車,,1
6438,陳,,1
6439,雜,,1
6440,驚,,1
6441,龍,,1
6442,鮠,,1
6443,茛,ranunculus,1
6444,蕈,mold/mushroom,1
6445,骀,tired/worn out horse,1
6446,樨,Osmanthus fragrans,1
6447,昝,,1
6448,餂,,1
6449,镎,,1
6450,酡,flushed (from drinking),1
6451,鳜,helicolenus,1
6452,觋,wizard,1
6453,礅,stone block,1
6454,垆,clay/shop,1
6455,坻,"islet/rock in river, place name",1
6456,荇,Limnanthemui nymphoides,1
6457,扃,shut,1
6458,磻,,1
6459,郗,(surname)/name of an ancient city,1
6460,阇,,1
6461,腈,,1
6462,铈,cerium,1
6463,臥,,1
6464,顱,,1
6465,級,,1
6466,階,,1
6467,顟,,1
6468,衖,,1
6469,珙,(gem),1
6470,襞,creases/folds or pleats in a garment,1
6471,劁,,1
6472,隈,bay/cove,1
6473,胬,,1
6474,纮,,1
6475,翙,,1
6476,茀,,1
6477,荜,bean/pulse,1
6478,溱,name of a river,1
6479,酤,to deal in liquors,1
6480,腳,,1
6481,記,,1
6482,許,,1
6483,錯,,1
6484,鱇,,1
6485,圯,"bridge, bank",1
6486,柽,tamarisk,1
6487,瞀,indistinct vision/dim,1
6488,铖,person's name,1
6489,粞,ground rice/thresh rice,1
6490,撙,regulate/restrain,1
6491,铊,thallium,1
6492,圹,tomb,1
6493,菝,smilax china,1
6494,迴,,1
6495,岙,,1
6496,漶,indecipherable,1
6497,缏,braid,1
6498,貊,name of a wild tribe/silent,1
6499,粫,,1
6500,徂,to go/to reach,1
6501,洎,to reach/when,1
6502,礌,,1
6503,膿,,1
6504,葉,,1
6505,險,,1
6506,雙,,1
6507,餘,,1
6508,邠,,1
6509,邽,,1
6510,溽,damp/muggy,1
6511,棰,flog/whip,1
6512,舭,,1
6513,艋,small boat,1
6514,靜,,1
6515,聱,difficult to pronounce,1
6516,尢,lame,1
6517,藚,,1
6518,佾,row of dancers at sacrifices,1
6519,蕻,budding/flourishing,1
6520,狁,name of a tribe,1
6521,绁,leash/rein,1
6522,牾,,1
6523,慝,evil thought,1
6524,蜱,(insect)/egg of mantis,1
6525,鬘,,1
6526,膚,,1
6527,虧,,1
6528,邊,,1
6529,髮,,1
6530,埚,crucible,1
6531,堙,bury/mound/to dam/close,1
6532,菥,,1
6533,萏,lotus,1
6534,玟,"jade-like stone, veins in jade",1
6535,椟,cabinet/case/casket,1
6536,铗,pincers for use at a fire/sword,1
6537,颙,,1
6538,踬,stumble,1
6539,筚,wicker,1
6540,矻,,1
6541,搠,daub/thrust,1
6542,圉,"stable, corral, enclosure/front",1
6543,浍,drain/stream,1
6544,閱,,1
6545,蛸,"long-legged spider, Octopus octopodia/mantis egg nest",1
6546,礎,,1
6547,討,,1
6548,鎮,,1
6549,鮊,,1
6550,芘,Malva sylvestris,1
6551,萜,,1
6552,鄗,,1
6553,惝,"disappointed, disappointed",1
6554,毵,long-haired/shaggy,1
6555,鲽,,1
6556,酞,phthalein (chemical),1
6557,絕,,1
6558,哚,,1
6559,溷,disordered/privy,1
6560,缞,,1
6561,踰,,1
6562,搦,take hold,1
6563,帻,conical cap,1
6564,铦,,1
6565,鲴,,1
6566,髫,tufts of hair on children,1
6567,盡,,1
6568,蓋,,1
6569,製,,1
6570,載,,1
6571,週,,1
6572,陸,,1
6573,醡,,1
6574,儇,ingenious/frivolous,1
6575,狴,(tapir),1
6576,迮,haste/to press,1
6577,鍬,,1
6578,趱,hasten/urge,1
6579,椠,wooden tablet/edition,1
6580,赟,,1
6581,陔,step/terrace,1
6582,坌,bring together/dust,1
6583,悃,sincere,1
6584,塍,raised path between fields,1
6585,疬,,1
6586,麈,leader of herd/stag,1
6587,絜,,1
6588,脩,,1
6589,赒,,1
6590,埒,"enclosure, dike, embankment",1
6591,镡,(surname)/knob on a sword-handle,1
6592,镨,praseodymium,1
6593,骎,,1
6594,骙,,1
6595,薑,,1
6596,鼩,,1
6597,雰,,1
6598,穩,,1
6599,藴,,1
6600,責,,1
6601,鮮,,1
6602,鳑,,1
6603,豨,,1
6604,琚,ornamental gems for belt,1
6605,觫,tremble with fear,1
6606,鲦,Chub leuciehthys,1
6607,刳,to cut open/rip up/scoop out,1
6608,拶,punish by squeezing fingers,1
6609,掊,"take up in both hands, break up/hit",1
6610,泐,write,1
6611,瘗,bury/sacrifice,1
6612,雩,summer sacrifice for rain,1
6613,麿,,1
6614,檗,Phyllodendron amurense,1
6615,鼂,,1
6616,詳,,1
6617,際,,1
6618,褔,,1
6619,铟,indium,1
6620,聽,,1
6621,觸,,1
6622,靈,,1
6623,鲏,,1
6624,蒗,(herb)/place name,1
6625,魟,,1
6626,遹,,1
6627,攴,,1
6628,蝥,Spanish fly/grain-eating grub,1
6629,茆,,1
6630,蓁,,1
6631,嚆,sound/noise,1
6632,忮,aggressive,1
6633,篌,(mus. instr.),1
6634,菧,,1
6635,卺,nuptial wine cup,1
6636,郫,place name,1
6637,篠,,1
6638,複,,1
6639,該,,1
6640,貴,,1
6641,辯,,1
6642,飛,,1
6643,犰,armadillo,1
6644,狳,armadillo,1
6645,陠,,1
6646,蹁,to limp,1
6647,蓐,mat/rushes,1
6648,稜,,1
6649,菃,,1
6650,埝,,1
6651,蕞,assemble/small,1
6652,喈,harmonious (of music),1
6653,戋,narrow/small,1
6654,赙,contribute to funeral expenses,1
6655,磉,stone plinth,1
6656,郤,,1
6657,聍,,1
6658,铷,rubidium,1
6659,硏,,1
6660,腘,,1
6661,興,,1
6662,雞,,1
6663,鬱,,1
6664,鳴,,1
6665,麥,,1
6666,鮟,,1
6667,鳈,,1
6668,秾,,1
6669,邗,name of an ancient river,1
6670,釐,,1
6671,矧,(interrog.),1
6672,舁,to lift/raise,1
6673,貅,(leopard),1
6674,瞇,,1
6675,骢,buckskin horse,1
6676,阼,steps leading to the eastern door,1
6677,垸,,1
6678,墁,to plaster,1
6679,攮,to fend off/to stab,1
6680,柝,watchman's rattle,1
6681,梃,a club (weapon),1
6682,眚,cataract of the eye/error,1
6683,箜,ancient string music instrument,1
6684,簏,box/basket,1
6685,綮,embroidered banner,1
6686,鲩,,1
6687,諡,,1
6688,茇,betel,1
6689,摅,set forth/to spread,1
6690,顐,,1
6691,蜾,Eumenes pomiformis,1
6692,龂,,1
6693,,,1
6694,臍,,1
6695,膩,,1
6696,諸,,1
6697,讉,,1
6698,鎯,,1
6699,脒,,1
6700,箬,(bamboo)/skin of bamboo,1
6701,鲻,Mugil cephalus/grey mullet,1
6702,埸,border,1
6703,颃,fly down,1
6704,蒹,reed,1
6705,瞍,blind,1
6706,铫,"pan with a long handle, (surname)/weeding tool",1
6707,蒐,,1
6708,蹻,,1
6709,幞,,1
6710,阯,,1
6711,觏,complete/meet unexpectedly/see,1
6712,媵,maid escorting bride to new home,1
6713,钬,holmium,1
6714,襦,jacket/short coat,1
6715,簋,round basket of bamboo,1
6716,翮,quill,1
6717,蹯,paws of animal,1
6718,艖,,1
6719,貓,,1
6720,鐮,,1
6721,負,,1
6722,順,,1
6723,鲿,,1
6724,緊,,1
6725,蹠,,1
6726,攉,,1
6727,禊,purification ceremony,1
6728,箐,,1
6729,镟,lathe/thread in screw,1
6730,癍,,1
6731,霪,heavy rain,1
6732,袪,,1
6733,劓,cut off the nose,1
6734,殂,die,1
6735,脞,chopped meat/trifles,1
6736,霨,,1
6737,饾,,1
6738,耵,,1
6739,泺,name of a river,1
6740,埤,low wall,1
6741,碁,,1
6742,鲐,globefish,1
6743,鷟,,1
6744,膬,,1
6745,茲,,1
6746,粯,,1
6747,糞,,1
6748,聲,,1
6749,貼,,1
6750,陴,parapet,1
6751,橼,Citrus medica,1
6752,驩,,1
6753,唣,,1
6754,蜩,cicada,1
6755,埯,,1
6756,蓥,,1
6757,袝,,1
6758,谞,,1
6759,馘,cut off the left ear of the slain,1
6760,谫,shallow/stupid,1
6761,輶,,1
6762,廑,careful/hut,1
6763,瘐,maltreat (as prisoners),1
6764,躐,step across,1
6765,黟,black and shining ebony,1
6766,纔,,1
6767,礙,,1
6768,膯,,1
6769,華,,1
6770,藭,,1
6771,禆,,1
6772,號,,1
6773,談,,1
6774,費,,1
6775,顏,,1
6776,飯,,1
6777,稓,,1
6778,縠,,1
6779,揠,eradicate/pull up,1
6780,绐,,1
6781,鸰,,1
6782,搛,,1
6783,黹,embroidery,1
6784,恧,ashamed,1
6785,粎,,1
6786,柒,seven (fraud-proof),1
6787,裒,collect,1
6788,栳,basket,1
6789,钸,,1
6790,饸,,1
6791,譞,,1
6792,販,,1
6793,铕,europium,1
6794,絷,connect/tie up,1
6795,蒨,,1
6796,蓣,dioscoreaceae,1
6797,迻,,1
6798,釆,,1
6799,鲕,caviar/fish roe,1
6800,頗,,1
6801,鍏,,1
6802,鷉,,1
6803,郄,,1
6804,埘,hen roost,1
6805,薤,Allium bakeri/shallot/scallion,1
6806,鲞,wine-preserved pomfret,1
6807,鼯,Petaurista leucogenys,1
6808,坭,mud,1
6809,蔌,(surname)/vegetables,1
6810,缳,bind/tie/noose,1
6811,靦,,1
6812,筸,,1
6813,蘋,,1
6814,夼,,1
6815,椐,Zelkowa acuminata,1
6816,轹,to bully/wheel-rut,1
6817,脬,bladder,1
6818,眍,,1
6819,饹,,1
6820,瘥,"recover from disease, disease",1
6821,瘵,foci of tubercular infection,1
6822,蝦,,1
6823,誌,,1
6824,邴,(surname)/ancient city name/happy,1
6825,鉁,,1
6826,鞮,,1
6827,舄,shoe/slipper,1
6828,麄,,1
6829,翛,,1
6830,覩,,1
6831,纩,fine floss-silk or cotton,1
6832,蓮,,1
6833,唛,mark,1
6834,袓,,1
6835,祂,,1
6836,轎,,1
6837,紀,,1
6838,纖,,1
6839,輔,,1
6840,鉀,,1
6841,領,,1
6842,螵,nest of eggs of mantis,1
6843,鸊,,1
6844,鮡,,1
6845,禛,,1
6846,袆,,1
6847,謴,,1
6848,邾,(surname)/name of a feudal state,1
6849,鮣,,1
6850,酲,alcoholic,1
6851,龁,,1
6852,汔,near,1
6853,眄,ogle,1
6854,眊,,1
6855,鬲,(surname)/earthen pot/iron caldron,1
6856,阨,,1
6857,靸,,1
6858,臉,,1
6859,贇,,1
6860,酺,,1
6861,狃,accustomed to,1
6862,轺,light carriage,1
6863,霅,,1
6864,鬂,,1
6865,鼷,mouse,1
6866,蠃,solitary wasp,1
6867,埴,soil with large clay content,1
6868,鴥,,1
6869,隊,,1
6870,髆,,1
6871,綱,,1
6872,膮,,1
6873,謹,,1
6874,铪,hafnium,1
6875,鹼,,1
6876,簳,,1
6877,終,,1
6878,綜,,1
6879,裝,,1
6880,訉,,1
6881,銀,,1
6882,鲉,,1
6883,蕿,,1
6884,袊,,1
6885,汆,,1
6886,硃,,1
6887,仝,together/same,1
6888,趽,,1
6889,堍,side of bridge,1
6890,揸,,1
6891,忭,delighted/pleased,1
6892,銧,,1
6893,妤,handsome/fair,1
6894,頫,,1
6895,緡,,1
6896,讟,,1
6897,龠,(ancient measure)/flute,1
6898,垤,anthill/mound,1
6899,擐,pass through/to get into (armor),1
6900,噍,,1
6901,洫,,1
6902,滏,name of a river in Hebei,1
6903,璁,(gem),1
6904,癃,infirmity/retention of urine,1
6905,邡,name of a district in Sichuan,1
6906,絁,,1
6907,鍩,,1
6908,趨,,1
6909,蒽,,1
6910,絲,,1
6911,膫,,1
6912,臅,,1
6913,茖,,1
6914,蘇,,1
6915,詞,,1
6916,詾,,1
6917,贆,,1
6918,蹨,,1
6919,農,,1
6920,錄,,1
6921,鐘,,1
6922,鰜,,1
6923,鹽,,1
6924,赕,,1
6925,鯔,,1
6926,鯮,,1
6927,蔯,,1
6928,貙,,1
6929,餬,,1
6930,躜,,1
6931,鳀,,1
6932,鹡,,1
6933,,,1
6934,蠋,,1
6935,钲,gong used to halt troops,1
6936,蜁,,1
6937,兕,rhinoceros indicus,1
6938,阽,"dangerous, dangerous",1
6939,鎰,,1
6940,绋,heavy rope/rope of a bier,1
6941,铓,,1
6942,爝,torch,1
6943,磾,,1
6944,葷,,1
6945,螘,,1
6946,仂,surplus/tithe,1
6947,雲,,1
6948,顗,,1
6949,蟫,,1
6950,蕺,Houttuynia cordata,1
6951,骃,,1
6952,蔀,,1
6953,诪,,1
6954,猹,,1
6955,鋬,,1
6956,盤,,1
6957,齾,,1
6958,埕,earthen jar,1
6959,聞,,1
6960,舉,,1
6961,虡,,1
6962,評,,1
6963,鍋,,1
6964,陣,,1
6965,紬,,1
6966,訢,,1
6967,蔎,,1
6968,繸,,1
6969,绖,,1
6970,埭,dam,1
6971,駮,,1
6972,鰡,,1
6973,鵳,,1
6974,柁,main beam of roof,1
6975,筴,,1
6976,珧,mother-of-pearl,1
6977,贳,borrow/buy on credit/rent out,1
6978,贶,bestow/confer,1
6979,腩,,1
6980,臌,dropsical/swollen,1
6981,礓,,1
6982,袛,,1
6983,貐,,1
6984,蹐,,1
6985,圬,to plaster/whitewash,1
6986,堠,mounds for beacons,1
6987,屦,sandals,1
6988,驵,powerful horse,1
6989,鑑,,1
6990,桄,"Arenga saccharifera, rung of ladder",1
6991,霑,,1
6992,憝,dislike/hate,1
6993,瘳,convalesce/recover/heal,1
6994,騃,,1
6995,茌,name of a district in Shandong,1
6996,辀,,1
6997,胠,,1
6998,埏,"to mix water with clay, boundary",1
6999,腠,the tissue between the skin and the flesh,1
7000,靰,,1
7001,鞡,,1
7002,缻,,1
7003,輳,,1
7004,闆,,1
7005,铼,rhenium,1
7006,紤,,1
7007,翹,,1
7008,聯,,1
7009,詢,,1
7010,課,,1
7011,豐,,1
7012,賴,,1
7013,輸,,1
7014,遲,,1
7015,鐣,,1
7016,齡,,1
7017,莤,,1
7018,鱯,,1
7019,缽,,1
7020,邲,,1
7021,唼,,1
7022,鐻,,1
7023,閟,,1
7024,駚,,1
7025,篥,bamboos good for poles/horn,1
7026,茈,"water chestnut, Lithospermum officinale",1
7027,肏,,1
7028,萩,,1
7029,跐,,1
7030,蹅,,1
7031,瞢,,1
7032,罽,,1
7033,聭,,1
7034,辻,,1
7035,铚,,1
7036,箦,,1
7037,踣,corpse/prostrate,1
7038,菑,,1
7039,蹟,,1
7040,捃,gather/to sort,1
7041,瘕,obstruction in the intestine,1
7042,睺,,1
7043,閒,,1
7044,鈦,,1
7045,顩,,1
7046,鳓,(shad)/spermary of fish,1
7047,闇,,1
7048,鹹,,1
7049,,,1
7050,禍,,1
7051,窩,,1
7052,純,,1
7053,縱,,1
7054,聖,,1
7055,聛,,1
7056,脮,,1
7057,衝,,1
7058,訊,,1
7059,馬,,1
7060,諹,,1
7061,誖,,1
7062,蕅,,1
7063,鰨,,1
7064,睒,,1
7065,笰,,1
7066,籥,,1
7067,翧,,1
7068,镩,,1
7069,耧,drill for sowing grain,1
7070,蜞,grapsus,1
7071,舡,,1
7072,鰲,,1
7073,鹀,,1
7074,,,1
7075,罣,,1
7076,觍,,1
7077,絽,,1
7078,羶,,1
7079,臜,,1
7080,薙,,1
7081,觔,,1
7082,躼,,1
7083,岈,,1
7084,潲,driving rain/to sprinkle,1
7085,枧,,1
7086,觌,face to face,1
7087,膦,phosphine,1
7088,礞,(mineral),1
7089,蝤,larva/grub,1
7090,螗,(cicada),1
7091,酹,pour out libation/sprinkle,1
7092,醅,unstrained spirits,1
7093,絅,,1
7094,纁,,1
7095,葰,,1
7096,郇,name of a feudal state,1
7097,躄,,1
7098,茼,Chrysanthemum coronarium,1
7099,洧,name of a river,1
7100,滠,name of a river,1
7101,澉,place name/wash,1
7102,鎭,,1
7103,铏,,1
7104,閤,,1
7105,赆,farewell presents,1
7106,赇,to bribe,1
7107,顣,,1
7108,骕,,1
7109,飑,whirlwind,1
7110,訄,,1
7111,輓,,1
7112,鉤,,1
7113,鋹,,1
7114,钘,,1
7115,陁,,1
7116,耱,,1
7117,繫,,1
7118,鋵,,1
7119,鱵,,1
7120,黨,,1
7121,禿,,1
7122,貧,,1
7123,買,,1
7124,賈,,1
7125,榀,,1
7126,緣,,1
7127,膶,,1
7128,茐,,1
7129,螝,,1
7130,訙,,1
7131,誘,,1
7132,賦,,1
7133,贅,,1
7134,鄬,,1
7135,釤,,1
7136,鍵,,1
7137,閮,,1
7138,隻,,1
7139,飽,,1
7140,齒,,1
7141,鯆,,1
7142,逿,,1
7143,鮀,,1
7144,鯝,,1
7145,鰁,,1
7146,鱤,,1
7147,郕,,1
7148,镴,,1
7149,韻,,1
7150,鮄,,1
7151,鲙,,1
7152,鳁,,1
7153,齁,,1
7154,舖,,1
7155,膹,,1
7156,袣,,1
7157,謿,,1
7158,陧,dangerous,1
7159,坜,,1
7160,坫,stand for goblets,1
7161,甍,rafters supporting tiles,1
7162,绠,rope/well-rope,1
7163,恝,indifferent,1
7164,飗,,1
7165,镙,,1
7166,镱,ytterbium,1
7167,騾,,1
7168,魋,,1
7169,硱,,1
7170,祫,,1
7171,筍,,1
7172,箖,,1
7173,袧,,1
7174,迯,,1
7175,郙,,1
7176,酖,,1
7177,遘,meet unexpectedly,1
7178,阘,,1
7179,眭,evil look of deep-set eyes,1
7180,餗,,1
7181,耖,,1
7182,鯒,,1
7183,邶,name of a feudal state,1
7184,絼,,1
7185,颥,,1
7186,篚,round covered basket,1
7187,鳘,,1
7188,,,1
7189,虒,,1
7190,裈,,1
7191,遆,,1
7192,麑,,1
7193,粚,,1
7194,託,,1
7195,鄚,,1
7196,軌,,1
7197,饋,,1
7198,銳,,1
7199,粌,,1
7200,紙,,1
7201,職,,1
7202,臏,,1
7203,莖,,1
7204,葌,,1
7205,豬,,1
7206,貏,,1
7207,違,,1
7208,鄉,,1
7209,闅,,1
7210,闊,,1
7211,頂,,1
7212,飢,,1
7213,驅,,1
7214,魚,,1
7215,鳉,,1
7216,鴱,,1
7217,鶎,,1
7218,黴,,1
7219,祼,,1
7220,鬛,,1
7221,镈,,1
7222,瞓,,1
7223,罶,,1
7224,羑,,1
7225,黉,,1
7226,霚,,1
7227,笹,,1
7228,郐,(surname)/name of a feudal state,1
7229,溻,,1
7230,骯,,1
7231,礡,,1
7232,袉,,1
7233,訚,,1
7234,谉,,1
7235,莛,stalk of grass,1
7236,哕,,1
7237,滗,,1
7238,瀹,cleanse/to boil,1
7239,鏰,,1
7240,稃,,1
7241,眰,,1
7242,眳,,1
7243,矞,,1
7244,硚,,1
7245,禋,,1
7246,翀,,1
7247,苾,,1
7248,襕,,1
7249,趥,,1
7250,茺,,1
7251,軿,,1
7252,逌,,1
7253,唪,recite/chant,1
7254,庳,low-built house,1
7255,殪,exterminate,1
7256,隃,,1
7257,糈,official pay/sacrificial rice,1
7258,鲄,,1
7259,龜,,1
7260,碕,,1
7261,鲣,bonito,1
7262,綎,,1
7263,栝,Juniperus chinensis/measuring-frame,1
7264,轵,end of axle outside of hub,1
7265,雔,,1
7266,頠,,1
7267,穈,,1
7268,翃,,1
7269,膭,,1
7270,衒,,1
7271,盇,,1
7272,礦,,1
7273,譢,,1
7274,鳰,,1
7275,遞,,1
7276,鴫,,1
7277,笟,,1
7278,莾,,1
7279,蒼,,1
7280,蟬,,1
7281,袑,,1
7282,訒,,1
7283,講,,1
7284,讝,,1
7285,購,,1
7286,趕,,1
7287,鈧,,1
7288,鈩,,1
7289,閃,,1
7290,閷,,1
7291,頉,,1
7292,髤,,1
7293,龤,,1
7294,薿,,1
7295,鱥,,1
7296,觝,,1
7297,鮻,,1
7298,鳤,,1
7299,穉,,1
7300,觱,,1
7301,轘,,1
7302,鐓,,1
7303,筘,(a measure of width of cloth),1
7304,鲝,,1
7305,睏,,1
7306,蔸,,1
7307,镚,,1
7308,痦,(flat) mole,1
7309,秵,,1
7310,臎,,1
7311,葴,,1
7312,蝟,,1
7313,訂,,1
7314,泖,still water,1
7315,骟,to geld,1
7316,锽,,1
7317,犋,,1
7318,眵,gritty secretion in eyes,1
7319,耩,to plough/to sow,1
7320,筢,,1
7321,躔,course of stars/follow precedent,1
7322,鬏,,1
7323,黪,grey black,1
7324,,,1
7325,祔,,1
7326,箠,,1
7327,舲,,1
7328,蒷,,1
7329,蜺,,1
7330,襢,,1
7331,謺,,1
7332,劐,,1
7333,貯,,1
7334,搋,,1
7335,醊,,1
7336,廒,granary,1
7337,洚,flood,1
7338,胲,hydroxylamine,1
7339,韥,,1
7340,饘,,1
7341,馂,,1
7342,筅,bamboo brush for utensils,1
7343,鳆,Haliotis gigantea/sea ear,1
7344,鲊,,1
7345,麗,,1
7346,篸,,1
7347,腄,,1
7348,臑,,1
7349,诐,,1
7350,仳,to part,1
7351,趩,,1
7352,篩,,1
7353,簾,,1
7354,絪,,1
7355,绹,,1
7356,膵,,1
7357,蕗,,1
7358,蝘,,1
7359,袠,,1
7360,賸,,1
7361,葙,Celosia argentea,1
7362,遊,,1
7363,饑,,1
7364,驀,,1
7365,祪,,1
7366,禘,,1
7367,臺,,1
7368,菍,,1
7369,髒,,1
7370,軸,,1
7371,釘,,1
7372,頃,,1
7373,仉,mother/surname of Mencius,1
7374,氕,protium,1
7375,矔,,1
7376,緒,,1
7377,脅,,1
7378,臒,,1
7379,苿,,1
7380,菢,,1
7381,蔂,,1
7382,藞,,1
7383,袩,,1
7384,貞,,1
7385,賣,,1
7386,跍,,1
7387,跓,,1
7388,蹤,,1
7389,軍,,1
7390,邿,,1
7391,鄰,,1
7392,醿,,1
7393,鈨,,1
7394,鋼,,1
7395,駵,,1
7396,駸,,1
7397,鰪,,1
7398,鱾,,1
7399,,,1
7400,賨,,1
7401,艞,,1
7402,鹟,,1
7403,钁,,1
7404,鞓,,1
7405,鰉,,1
7406,監,,1
7407,穊,,1
7408,蕡,,1
7409,鑨,,1
7410,楱,,1
7411,靹,,1
7412,鷃,,1
7413,鼱,,1
7414,眫,,1
7415,艆,,1
7416,褯,,1
7417,剞,curved wood graver,1
7418,蔟,collect/frame for silk worm/nest,1
7419,靿,,1
7420,飭,,1
7421,瘼,distress/sickness,1
7422,酴,yeast,1
7423,鼢,(mole),1
7424,睆,,1
7425,硁,,1
7426,秬,,1
7427,穪,,1
7428,筦,,1
7429,粡,,1
7430,粣,,1
7431,綖,,1
7432,裏,,1
7433,刭,cut the throat,1
7434,跼,,1
7435,蒇,complete/prepare,1
7436,挢,correct,1
7437,邆,,1
7438,彡,,1
7439,猃,long-snout dog,1
7440,闉,,1
7441,阓,,1
7442,阛,,1
7443,靺,,1
7444,鞨,,1
7445,铥,thulium,1
7446,瘅,"(disease), to hate",1
7447,駰,,1
7448,騻,,1
7449,箅,,1
7450,箢,,1
7451,觖,dissatisfied,1
7452,麆,,1
7453,齮,,1
7454,糀,,1
7455,虯,,1
7456,瘊,wart,1
7457,絛,,1
7458,聴,,1
7459,蘭,,1
7460,讬,,1
7461,揲,sort out divining stalks,1
7462,镮,,1
7463,钷,,1
